"Assessment Key","Session","Session Sort","Type","Number","Questions","Avg Point-Biserial","Discrimination Index","PDF Difficulty","Student N","Mean Score","SD Score","Median Score","Minimum Score","Maximum Score","At or Above 75%","Benchmark Rate","Local Minus PDF Difficulty"
"2026-01-E1","Jan 2026","2026-01","Exam",1,58,0.2,0.2,0.78,14,0.843112214285714,0.0568077296787879,0.844792,0.737202,0.942262,13,0.928571428571429,0.0631122142857142
"2026-03-E1","Mar 2026","2026-03","Exam",1,58,0.21,0.22,0.76,19,0.848151631578947,0.0453315126328137,0.859524,0.739286,0.918155,18,0.947368421052632,0.0881516315789473
"2026-05-E1","May 2026","2026-05","Exam",1,56,0.23,0.25,0.77,11,0.858089727272727,0.0669738030876117,0.862202,0.765476,0.979464,11,1,0.0880897272727272
"2026-07-E1","Jul 2026","2026-07","Exam",1,56,0.23,0.25,0.75,9,0.793254,0.0688947647176475,0.799405,0.647024,0.867262,8,0.888888888888889,0.043254
