"Session","Paired N","Quiz 3 Mean","Exam 2 Mean","Pearson r","Spearman rho","Both at/above 75%","Quiz 3 pass / Exam 2 below","Quiz 3 below / Exam 2 pass","Both below 75%"
"All paired sessions",43,0.876193860465116,0.813283093023256,0.125532384508611,0.215093302517762,32,7,4,0
"May 2026",10,0.9450875,0.8100595,0.0685334820561998,0.303858846402561,6,4,0,0
"Mar 2026",19,0.853063684210526,0.830267578947368,0.289350768628297,0.385256728619219,15,1,3,0
"Jan 2026",14,0.858375071428571,0.792535285714286,0.130284958407398,0.331868131868132,11,2,1,0
