"Comparison","Session","Paired N","First Mean","Last Mean","Mean Change","Median Change","Improved N","Declined N"
"Quiz 1 to Quiz 5","Jan 2026",14,0.882142857142857,0.808237928571429,-0.0739049285714286,-0.049625,4,10
"Quiz 1 to Quiz 5","Mar 2026",17,0.806578352941177,0.733205882352941,-0.0733724705882353,-0.133,5,11
"Quiz 1 to Quiz 5","May 2026",11,0.828988636363636,0.799810545454545,-0.0291780909090909,-0.0716249999999999,5,6
"Exam 1 to Exam 2","Jan 2026",14,0.843112214285714,0.792535285714286,-0.0505769285714286,-0.054741,3,11
"Exam 1 to Exam 2","Mar 2026",19,0.848151631578947,0.830267578947368,-0.017884052631579,-0.00506000000000006,8,11
"Exam 1 to Exam 2","May 2026",11,0.858089727272727,0.816044363636364,-0.0420453636363637,-0.031846,4,7
