"Prior Assessment","N","Pearson r","Spearman rho","Session-Adjusted Slope","Slope p-value","Adjusted R-squared","BH-Adjusted p-value"
"Quiz 1",43,0.155069405483161,0.0733515660443861,0.141426001876306,0.126095160265031,0.0521646975341502,0.151314192318037
"Quiz 2",43,0.333723567861339,0.339068008218849,0.195013798032831,0.0224082761830374,0.13378229719908,0.0593273806873967
"Quiz 3",43,0.125532384508611,0.215093302517762,0.12943148578836,0.29618209934572,0.0256497717570461,0.29618209934572
"Quiz 4",43,0.420002454658479,0.467993531319259,0.176873455337381,0.0296636903436983,0.122611667309237,0.0593273806873967
"Quiz 5",42,0.217974020185837,0.247648460372367,0.167229996579288,0.0468261185497954,0.103136493378932,0.070239177824693
"Exam 1",44,0.344442570247613,0.26056313357014,0.39393784468825,0.0245898827138075,0.117478626357135,0.0593273806873967
