"Comparison","July N","Comparison N","July Mean","Comparison Mean","Mean Difference","Welch 95% CI Lower","Welch 95% CI Upper","Welch p-value","Wilcoxon p-value","Hedges g","BH-Adjusted Welch p-value"
"Jul 2026 vs Prior sessions pooled",9,44,0.793254,0.849032704545455,-0.0557787045454545,-0.109987542977505,-0.00156986611340382,0.0447999487835766,0.0251638340547971,-0.971536416915727,0.0683195052543619
"Jul 2026 vs Mar 2026",9,19,0.793254,0.848151631578947,-0.0548976315789473,-0.110145228177035,0.000349965019140048,0.0512396289407714,0.0323197602275777,-0.992625785756311,0.0683195052543619
"Jul 2026 vs May 2026",9,11,0.793254,0.858089727272727,-0.0648357272727272,-0.129350141551429,-0.000321312994025903,0.0489906653329427,0.0575194003956384,-0.915410165407977,0.0683195052543619
"Jul 2026 vs Jan 2026",9,14,0.793254,0.843112214285714,-0.0498582142857142,-0.108611752332704,0.00889532376127569,0.0904971142006852,0.115200789938221,-0.778965902340634,0.0904971142006852
