"Session","Students","Assessments","Attempts","Mean Quiz","Mean Exam","Quiz SD","Exam SD","Quiz Benchmark Rate","Exam Benchmark Rate"
"Jan 2026",14,7,98,0.820798785714286,0.81782375,0.110573384577765,0.056682735150965,0.742857142857143,0.892857142857143
"Mar 2026",19,7,130,0.822991902173913,0.839209605263158,0.121974348874253,0.0479320322385318,0.760869565217391,0.947368421052632
"May 2026",11,7,74,0.839459153846154,0.837067045454545,0.117977628005231,0.0824460616504179,0.788461538461538,0.818181818181818
"Jul 2026",10,3,29,0.7919133,0.793254,0.112606737495493,0.0688947647176475,0.7,0.888888888888889
