"Quiz 3 At-Risk Cutoff","N","Exam 2 Below 75% N","Flagged by Quiz 3 N","Sensitivity","Specificity","Positive Predictive Value","Negative Predictive Value"
0.75,43,7,4,0,0.888888888888889,0,0.82051282051282
0.8,43,7,7,0,0.805555555555556,0,0.805555555555556
0.85,43,7,16,0.285714285714286,0.611111111111111,0.125,0.814814814814815
0.9,43,7,21,0.285714285714286,0.472222222222222,0.0952380952380952,0.772727272727273
0.95,43,7,35,0.857142857142857,0.194444444444444,0.171428571428571,0.875
